"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C14,C19,C23,C21,C25,C13,C26,C20";"CP_EIA-1608-08_AVX-J";8;"470nF";;;
2;"C9";"CP_EIA-1608-08_AVX-J";1;"0.5pF";;;
3;"R5";"R_0201_0603Metric";1;"2k";;;
4;"L3,L4";"L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1";2;"15uH";;;
5;"C18,C16,C12,C22,C24,Ce,C17";"CP_EIA-1608-08_AVX-J";7;"100nF";;;
6;"C15,C6,C7,C11";"CP_EIA-1608-08_AVX-J";4;"1uF";;;
7;"D2";"LED_D3.0mm";1;"RED";;;
8;"R14";"R_0201_0603Metric";1;"100kR";;;
9;"H4,H2,H3,H1";"MountingHole_2.7mm_M2.5_Pad_TopOnly";4;"MountingHole";;;
10;"C4,C5";"CP_EIA-1608-08_AVX-J";2;"21pF";;;
11;"J1";"JAE_DX07S016JA1R1500";1;"USB";;;
12;"L2,Le,L7,L8,L5";"L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1";5;"1uH";;;
13;"R9,R15,R11";"R_0201_0603Metric";3;"100k";;;
14;"R4";"R_0201_0603Metric";1;"1k";;;
15;"IC2,IC5";"SOT95P280X145-5N";2;"TL081HIDBVR";;;
16;"U4";"DGQ0010D_NV_N";1;"BQ24092DGQT";;;
17;"R7";"R_0201_0603Metric";1;"1k5";;;
18;"IC4";"SOT65P210X110-6N";1;"PE4259";;;
19;"R6";"R_0201_0603Metric";1;"50kR";;;
20;"TP2";"TestPoint_Pad_2.0x2.0mm";1;"BATT-";;;
21;"Y2";"FC12M327680KDA0";1;"32Crystal";;;
22;"ANT1";"1575AT43A0040E";1;"1575AT43A0040E";;;
23;"L1";"L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1";1;"0.6nH";;;
24;"R16";"R_0201_0603Metric";1;"470k";;;
25;"R10";"R_0201_0603Metric";1;"470kR";;;
26;"ANT2";"A10340";1;"A10340";;;
27;"R2,R8";"R_0201_0603Metric";2;"5kR";;;
28;"U2";"Skyworks_SKY65404-31";1;"SKY65404";;;
29;"C8";"CP_EIA-1608-08_AVX-J";1;"0.1uF";;;
30;"U3";"SOT-223-3_TabPin2";1;"LDO1.8";;;
31;"IC6";"74AVC9112GTX";1;"74LVC2G00GT";;;
32;"C10";"CP_EIA-1608-08_AVX-J";1;"4.7uF";;;
33;"IC3";"QFN50P400X400X100-25N-D";1;"SX1268IMLTRT";;;
34;"IC1";"BGA99C50P9X11_500X600X120";1;"STA8090FG";;;
35;"R3,R12,R1";"R_0201_0603Metric";3;"100R";;;
36;"C27";"CP_EIA-1608-08_AVX-J";1;"1nF";;;
37;"TP1";"TestPoint_Pad_2.0x2.0mm";1;"BATT+";;;
