Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","1575AT43A0040E","1575AT43A0040E",57.307500,-71.415000,-90.000000,top
"ANT2","A10340","A10340",44.230000,-76.730000,180.000000,top
"C4","21pF","CP_EIA-1608-08_AVX-J",65.262500,-50.090000,180.000000,top
"C5","21pF","CP_EIA-1608-08_AVX-J",71.160000,-50.282500,-90.000000,top
"C6","1uF","CP_EIA-1608-08_AVX-J",40.980000,-44.632500,-90.000000,top
"C7","1uF","CP_EIA-1608-08_AVX-J",40.980000,-47.712500,90.000000,top
"C8","0.1uF","CP_EIA-1608-08_AVX-J",62.930000,-70.515000,0.000000,top
"C9","0.5pF","CP_EIA-1608-08_AVX-J",62.932500,-68.895000,0.000000,top
"C10","4.7uF","CP_EIA-1608-08_AVX-J",60.347500,-46.320000,180.000000,top
"C11","1uF","CP_EIA-1608-08_AVX-J",53.997500,-45.292500,180.000000,top
"C12","100nF","CP_EIA-1608-08_AVX-J",71.770000,-54.567500,90.000000,top
"C13","470nF","CP_EIA-1608-08_AVX-J",53.730000,-62.442500,-90.000000,top
"C14","470nF","CP_EIA-1608-08_AVX-J",72.510000,-59.660000,0.000000,top
"C15","1uF","CP_EIA-1608-08_AVX-J",62.810000,-45.607500,-90.000000,top
"C16","100nF","CP_EIA-1608-08_AVX-J",65.510000,-62.127500,-90.000000,top
"C17","100nF","CP_EIA-1608-08_AVX-J",72.487500,-57.040000,180.000000,top
"C18","100nF","CP_EIA-1608-08_AVX-J",67.280000,-62.070000,90.000000,top
"C19","470nF","CP_EIA-1608-08_AVX-J",53.750000,-56.052500,90.000000,top
"C20","470nF","CP_EIA-1608-08_AVX-J",53.750000,-59.285000,-90.000000,top
"C21","470nF","CP_EIA-1608-08_AVX-J",53.780000,-52.887500,90.000000,top
"C22","100nF","CP_EIA-1608-08_AVX-J",50.627500,-53.200000,180.000000,top
"C23","470nF","CP_EIA-1608-08_AVX-J",50.672500,-54.890000,180.000000,top
"C24","100nF","CP_EIA-1608-08_AVX-J",50.057500,-62.420000,180.000000,top
"C25","470nF","CP_EIA-1608-08_AVX-J",50.062500,-64.810000,180.000000,top
"C26","470nF","CP_EIA-1608-08_AVX-J",50.060000,-76.620000,0.000000,top
"C27","1nF","CP_EIA-1608-08_AVX-J",50.057500,-60.660000,180.000000,top
"Ce","100nF","CP_EIA-1608-08_AVX-J",65.252500,-48.370000,180.000000,top
"D2","RED","LED_D3.0mm",59.357500,-43.052500,180.000000,top
"IC1","STA8090FG","BGA99C50P9X11_500X600X120",67.790000,-43.890000,-90.000000,top
"IC2","TL081HIDBVR","SOT95P280X145-5N",58.870000,-65.230000,0.000000,top
"IC3","SX1268IMLTRT","QFN50P400X400X100-25N-D",68.250000,-57.870000,90.000000,top
"IC4","PE4259","SOT65P210X110-6N",50.690000,-57.170000,180.000000,top
"IC5","TL081HIDBVR","SOT95P280X145-5N",53.770000,-73.700000,180.000000,top
"IC6","74LVC2G00GT","74AVC9112GTX",53.390000,-68.475000,180.000000,top
"J1","USB","JAE_DX07S016JA1R1500",70.160000,-72.500000,0.000000,top
"L1","0.6nH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",59.907500,-68.375000,-90.000000,top
"L2","1uH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",55.890000,-62.080000,0.000000,top
"L3","15uH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",69.530000,-69.230000,90.000000,top
"L4","15uH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",72.374315,-69.240000,90.000000,top
"L5","1uH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",55.880000,-56.410000,0.000000,top
"L7","1uH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",55.870000,-53.590000,0.000000,top
