Ref,Val,Package,PosX,PosY,Rot,Side
"L8","1uH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",49.910000,-74.630000,90.000000,top
"Le","1uH","L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1",63.510000,-59.200000,180.000000,top
"R1","100R","R_0201_0603Metric",62.090000,-67.685000,180.000000,top
"R2","5kR","R_0201_0603Metric",66.440000,-69.580000,90.000000,top
"R3","100R","R_0201_0603Metric",63.570000,-67.695000,0.000000,top
"R4","1k","R_0201_0603Metric",52.017500,-47.552500,-90.000000,top
"R5","2k","R_0201_0603Metric",52.017500,-49.017500,-90.000000,top
"R6","50kR","R_0201_0603Metric",59.970000,-47.990000,-90.000000,top
"R7","1k5","R_0201_0603Metric",57.987500,-45.752500,0.000000,top
"R8","5kR","R_0201_0603Metric",67.770000,-69.585000,-90.000000,top
"R9","100k","R_0201_0603Metric",61.380000,-64.675000,-90.000000,top
"R10","470kR","R_0201_0603Metric",56.280000,-65.880000,90.000000,top
"R11","100k","R_0201_0603Metric",61.380000,-66.155000,90.000000,top
"R12","100R","R_0201_0603Metric",51.155000,-59.270000,0.000000,top
"R14","100kR","R_0201_0603Metric",52.530000,-76.670000,0.000000,top
"R15","100k","R_0201_0603Metric",52.750000,-71.440000,0.000000,top
"R16","470k","R_0201_0603Metric",54.390000,-71.440000,0.000000,top
"U2","SKY65404","Skyworks_SKY65404-31",62.867500,-74.165000,90.000000,top
"U3","LDO1.8","SOT-223-3_TabPin2",46.300000,-45.950000,0.000000,top
"U4","BQ24092DGQT","DGQ0010D_NV_N",55.627500,-47.992500,0.000000,top
"Y2","32Crystal","FC12M327680KDA0",68.610000,-49.700000,-90.000000,top
